Age (ka),Insolation (W/m^2)
353,488.5012569
354,491.2284557
355,492.4511584
356,492.3753514
357,491.3228638
358,489.7649869
359,488.0922595
360,486.7161755
361,485.8802471
362,485.8312212
363,486.6826235
364,488.4835692
365,491.2153173
366,494.713845
367,498.750423
368,502.9243123
369,506.8685731
370,510.1590155
371,512.4477254
372,513.5197148
373,513.3121725
374,511.9250132
375,509.5605605
376,506.512688
377,503.107873
378,499.7077758
379,496.6097552
380,494.0825286
381,492.3228676
382,491.4510798
383,491.450809
384,492.1635917
385,493.2957318
386,494.4758253
387,495.2411348
388,495.1987684
389,494.0759636
390,491.7723469
391,488.4224364
392,484.2896917
393,479.7613418
394,475.2233342
395,471.0803519
396,467.6899894
397,465.3944912
398,464.4593743
399,465.1064551
400,467.4442158
401,471.4539179
402,476.9886571
403,483.6496151
404,490.9050992
405,498.0739459
406,504.4798933
407,509.5228914
408,512.8396137
409,514.3702813
410,514.2446757
411,512.7693779
412,510.345412
413,507.3775776
414,504.2252967
415,501.1954613
416,498.5557705
417,496.5339158
418,495.2849362
419,494.9020615
420,495.3789024
421,496.6185797
422,498.3800296
423,500.2933869
424,501.9813605
425,502.9683961
426,502.9404854
427,501.6740352
428,499.1792619
429,495.6264521
430,491.3233884
431,486.6255412
432,481.9637785
433,477.7414819
434,474.274279
435,471.8457787
436,470.689211
437,470.8919207
438,472.4765694
439,475.3114771
440,479.1128995
441,483.5148584
442,488.0505384
443,492.2359685
444,495.6728729
445,498.0850582
446,499.3449057
447,499.5343211
448,498.8068644
449,497.4190231
450,495.6552165
451,493.7955479
452,492.1401298
453,490.9279249
454,490.4377568
455,490.8369172
456,492.3042341
457,494.862708
458,498.4182403
459,502.7263881
460,507.2952646
461,511.5360306
462,514.7182077
463,516.2612993
464,515.731693
465,513.0115724
466,508.2952067
467,501.9932188
468,494.6873845
469,486.9522548
470,479.2830202
471,472.168038
472,465.9915587
473,461.1333446
474,457.9854888
475,456.8738413
476,458.1366622
477,461.9800284
478,468.4279793
479,477.1750803
480,487.6009159
481,498.6199592
482,508.90491
483,517.132014
484,522.2888019
485,523.9363794
486,522.252044
487,517.8957858
488,511.768347
489,504.6796334
490,497.306155
491,490.1357601
492,483.5454087
493,477.857309
494,473.4017974
495,470.5319028
496,469.5797515
497,470.8788109
498,474.6315722
499,480.7798938
500,488.9315541
501,498.3324037
502,507.8075177
503,516.0314052
504,521.7366694
505,524.0825707
506,522.8659974
507,518.4676548
508,511.696448
509,503.4824665
510,494.6897247
511,485.9718634
512,477.8823353
513,470.801218
514,465.0271546
515,460.8419433
516,458.4357023
517,457.971017
518,459.4987898
519,462.9047196
520,467.9487373
521,474.2000146
522,481.1063139
523,488.0422146
524,494.4654803
525,499.9736625
526,504.3119368
527,507.4674092
528,509.5581655
529,510.7697392
530,511.3312188
531,511.4580831
532,511.2955
533,510.9170005
534,510.3593582
535,509.5692614
536,508.4820808
537,507.0133046
538,505.0807861
539,502.6629239
540,499.760343
541,496.4469549
542,492.8652783
543,489.1779308
544,485.6498119
545,482.5468404
546,480.1413772
547,478.746209
548,478.5780013
549,479.7956362
550,482.4065088
551,486.234049
552,490.8602021
553,495.6540815
554,499.8268959
555,502.6181332
556,503.4451368
557,502.0955571
558,498.672202
559,493.6601263
560,487.624624
561,481.1513876
562,474.7488072
563,468.8502681
564,463.783499
565,459.8313469
566,457.3400542
567,456.6595201
568,458.1739073
569,462.2539133
